,Picture,Title,Venue,Time,Price,Link
0,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01An5cnO2GdSMWFWYYm_!!2251059038.png_q60.jpg_.webp,【上海】 音乐剧《阿加莎》中文版,上海 | 中国大戏院,2021.12.22-2022.01.16,180-680             元,//detail.damai.cn/item.htm?id=660147957844&clicktitle=%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E9%98%BF%E5%8A%A0%E8%8E%8E%E3%80%8B%E4%B8%AD%E6%96%87%E7%89%88
1,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01WqNGHy2GdSMUbaND0_!!2251059038.jpg_q60.jpg_.webp,【上海】 迪士尼嘉年华音乐会,上海 | 上海大剧院-大剧场,2022.01.15-01.16,180-1080             元,//detail.damai.cn/item.htm?id=660772221330&clicktitle=%E8%BF%AA%E5%A3%AB%E5%B0%BC%E5%98%89%E5%B9%B4%E5%8D%8E%E9%9F%B3%E4%B9%90%E4%BC%9A
2,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01hSJxQV2GdSMX5M0UF_!!2251059038.jpg_q60.jpg_.webp,【上海】 中国国家话剧院经典话剧呈现《四世同堂》,上海 | 上汽上海文化广场,2022.01.21-01.23,80-880             元,//detail.damai.cn/item.htm?id=661006498699&clicktitle=%E4%B8%AD%E5%9B%BD%E5%9B%BD%E5%AE%B6%E8%AF%9D%E5%89%A7%E9%99%A2%E7%BB%8F%E5%85%B8%E8%AF%9D%E5%89%A7%E5%91%88%E7%8E%B0%E3%80%8A%E5%9B%9B%E4%B8%96%E5%90%8C%E5%A0%82%E3%80%8B
3,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01X3xeif2GdSMQ7mjT8_!!2251059038.jpg_q60.jpg_.webp,【上海】 集装箱沉浸式感官戏剧 《消失的航班》,上海 | BFC外滩金融中心,2021.11.23-12.12,68-128             元,//detail.damai.cn/item.htm?id=659519464426&clicktitle=%E9%9B%86%E8%A3%85%E7%AE%B1%E6%B2%89%E6%B5%B8%E5%BC%8F%E6%84%9F%E5%AE%98%E6%88%8F%E5%89%A7%20%E3%80%8A%E6%B6%88%E5%A4%B1%E7%9A%84%E8%88%AA%E7%8F%AD%E3%80%8B
4,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN017v9G0Y2GdSMWUGQ1I_!!2251059038.jpg_q60.jpg_.webp,【上海】 缪时客出品  音乐剧《沉默的真相》,上海 | FANCL艺术中心 艺海剧院大剧场,2021.12.30-2022.01.23,180-680             元,//detail.damai.cn/item.htm?id=660350446389&clicktitle=%E7%BC%AA%E6%97%B6%E5%AE%A2%E5%87%BA%E5%93%81%20%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E6%B2%89%E9%BB%98%E7%9A%84%E7%9C%9F%E7%9B%B8%E3%80%8B
5,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01fpauus2GdSKWEC84E_!!2251059038.png_q60.jpg_.webp,【上海】 开心麻花王牌喜剧《乌龙山伯爵》,上海 | FANCL艺术中心 艺海剧院大剧场,2021.11.23-12.05,80-1180             元,//detail.damai.cn/item.htm?id=657576660393&clicktitle=%E5%BC%80%E5%BF%83%E9%BA%BB%E8%8A%B1%E7%8E%8B%E7%89%8C%E5%96%9C%E5%89%A7%E3%80%8A%E4%B9%8C%E9%BE%99%E5%B1%B1%E4%BC%AF%E7%88%B5%E3%80%8B
6,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01BMVE2H2GdSMQDASMQ_!!2251059038.png_q60.jpg_.webp,【上海】 开心麻花2021年度大戏《财神爷驾到》,上海 | 虹桥艺术中心,2021.11.23-12.05,88-1188             元,//detail.damai.cn/item.htm?id=656548164453&clicktitle=%E5%BC%80%E5%BF%83%E9%BA%BB%E8%8A%B12021%E5%B9%B4%E5%BA%A6%E5%A4%A7%E6%88%8F%E3%80%8A%E8%B4%A2%E7%A5%9E%E7%88%B7%E9%A9%BE%E5%88%B0%E3%80%8B
7,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01Rxl6vL2GdSMHq6ylq_!!2251059038.jpg_q60.jpg_.webp,【上海】 舞台剧《寄生虫》·上海站,上海 | 上海保利大剧院-大剧场,2022.01.14-01.16,80-1280             元,//detail.damai.cn/item.htm?id=660115311929&clicktitle=%E8%88%9E%E5%8F%B0%E5%89%A7%E3%80%8A%E5%AF%84%E7%94%9F%E8%99%AB%E3%80%8B%C2%B7%E4%B8%8A%E6%B5%B7%E7%AB%99
8,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01MpAIav2GdSJhXEK1q_!!2251059038.png_q60.jpg_.webp,【上海】 开心麻花爆笑舞台剧《贼想得到你》,上海 | FANCL艺术中心 艺海剧院大剧场,2021.12.07-12.17,80-1180             元,//detail.damai.cn/item.htm?id=659189125401&clicktitle=%E5%BC%80%E5%BF%83%E9%BA%BB%E8%8A%B1%E7%88%86%E7%AC%91%E8%88%9E%E5%8F%B0%E5%89%A7%E3%80%8A%E8%B4%BC%E6%83%B3%E5%BE%97%E5%88%B0%E4%BD%A0%E3%80%8B
9,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01xcspZq2GdSM4bOpbV_!!2251059038.png_q60.jpg_.webp,【上海】 推理音乐剧《小说》,上海 | 人民大舞台,2021.12.23-2022.01.27,100-680             元,//detail.damai.cn/item.htm?id=658215517694&clicktitle=%E6%8E%A8%E7%90%86%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E5%B0%8F%E8%AF%B4%E3%80%8B
